,common_name,family,categories,origin,climate,zone,img_url
120,"  Balfour aralia ,  Aralia Balfouriana  ",Araliaceae,Aralia,  Cultivar  ,Tropical,"[11,14]",http://www.tropicopia.com/house-plant/thumbnails/5708.jpg
121,  Croton  ,Euphorbiaceae,Foliage plant,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5532.jpg
122,  Bronze Anthurium  ,Araceae,Anthurium,  Ecuador  ,Tropical,[12],http://www.tropicopia.com/house-plant/thumbnails/5495.jpg
123,  Rubber plant  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5616.jpg
124,  Madagascar dragon tree  ,Liliaceae,Dracaena,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5577.jpg
125,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5455.jpg
126,  Jade Plant  ,Crasssulaceae,Cactus & Succulent,  South Africa  ,Subtropical arid,"[11, 8]",http://www.tropicopia.com/house-plant/thumbnails/5536.jpg
127,  Weeping fig  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5610.jpg
128,"  Kentia palm ,  Paradise palm  ",Arecaceae,Palm,  South Pacific  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5649.jpg
129,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5454.jpg
130,  Chinese hibiscus  ,Malvaceae,Flower,  Asia  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5643.jpg
131,  Lady palm  ,Arecaceae,Palm,  China  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5724.jpg
132,"  African evergreen ,  Arrowhead vine ,  Goosefoot plant  ",Araceae,Hanging,  Cultivar  ,Tropical humid,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5772.jpg
133,"  Dragon-tree Agave ,  Century plant  ",Amaryllidaceae,Cactus & Succulent,  Mexico  ,Arid Tropical,"[10, 8]",http://www.tropicopia.com/house-plant/thumbnails/5443.jpg
134,"  Cast iron plant ,  Aspidistra Milky Way  ",Liliaceae,Foliage plant,  Japan  ,Subtropical,"[11, 7]",http://www.tropicopia.com/house-plant/thumbnails/5498.jpg
135,  Pink quill  ,Bromeliaceae,Bromeliad,  Ecuador  ,Tropical humid,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5776.jpg
136,  Madagascar dragon tree  ,Liliaceae,Dracaena,  Madagascar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5573.jpg
137,"  Ming Aralia ,  Parsley panax  ",Araliaceae,Aralia,  Malaysia  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5706.jpg
138,  Madagascar dragon tree  ,Liliaceae,Dracaena,  Madagascar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5574.jpg
139,  False aralia  ,Araliaceae,Aralia,  New Calidonia  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5753.jpg
140,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5458.jpg
141,  English ivy  ,Araliaceae,Hanging,  Cultivar  ,Subtropical,"[11, 8]",http://www.tropicopia.com/house-plant/thumbnails/5640.jpg
142,  Guzmania  ,Bromeliaceae,Bromeliad,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5630.jpg
143,"  Korean rock fern ,  Tsu-sima holly fern  ",Dryopteridaceae,Fern,  Korea  ,Subtropical,"[10, 7]",http://www.tropicopia.com/house-plant/thumbnails/5717.jpg
144,  Chinese Evergreen  ,Araceae,Aglaonema,  Hybrid  ,Tropical,[11],http://www.tropicopia.com/house-plant/thumbnails/5482.jpg
145,  Weeping fig  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5609.jpg
146,  Weeping fig  ,Moraceae,Ficus,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5607.jpg
147,  Snake plant  ,Liliaceae,Sansevieria,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5736.jpg
148,"  Picta Philodendron ,  Satin pothos , ""Devil s ivy"" ",Araceae,Hanging,  Indonisia  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5754.jpg
149,  Fish tail palm  ,Palmae,Palm,  India  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5510.jpg
150,"  Bamboo palm ,  Reed Palm  ",Arecaceae,Palm,  Mexico  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5526.jpg
151,  Janet Craig  ,Liliaceae,Dracaena,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5558.jpg
152,"  Miniature fishtail ,  Steel palm  ",Arecaceae,Palm,  Mexico  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5522.jpg
153,  Orchid cactus  ,Cactaceae,Cactus & Succulent,  Hybrid  ,Tropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5591.jpg
154,"  Adonidia ,  Christmas palm ,  Manila palm  ",Arecaceae,Palm,  Philippines  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5778.jpg
155,  Variegated lily-turf  ,Liliaceae,Foliage plant,  Japan  ,Subtropical,"[11, 8]",http://www.tropicopia.com/house-plant/thumbnails/5655.jpg
156,  Janet Craig  ,Liliaceae,Dracaena,  Cultivar  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5557.jpg
157,"  Splitleaf Philodendron ,  Mexican Breadfruit  ",Araceae,Philodendron,  Central America  ,Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5662.jpg
158,"  Elephant foot ,  Pony tail  ",Agavaceae,Foliage plant,  Mexico  ,Arid Tropical,"[11,10]",http://www.tropicopia.com/house-plant/thumbnails/5672.jpg
159,  Cretan brake  ,Pteridaceae,Fern,  Cultivar  ,Tropical humid,"[10,9]",http://www.tropicopia.com/house-plant/thumbnails/5719.jpg
160,  Peace lily  ,Liliaceae,Spathiphyllum,  Cultivar  ,Tropical,"[11,11]",http://www.tropicopia.com/house-plant/thumbnails/5765.jpg
161,  Silver vase  ,Bromeliaceae,Bromeliad,  Brazil  ,Tropical humid,[10],http://www.tropicopia.com/house-plant/thumbnails/5438.jpg
162,"  African fern pine ,  Buddhist pine  ",Podocarpaceae,Foliage plant,  Central Africa  ,Subtropical,"[11, 9]",http://www.tropicopia.com/house-plant/thumbnails/5699.jpg
